Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Tyner, Jason",LF,48,42,62,69,45,42,20,45,16,0.74,6492,2007,MIN,NA,NA,NA,Jason Tyner,1232,Twins
"Lopez, Jose",2B,56,54,58,56,54,57,58,55,196,0.8,7392,2006,SEA,NA,NA,NA,Jose Lopez,3114,Mariners
"Byrd, Marlon",CF,66,72,70,68,67,66,54,59,14,0.73,6863,2008,TEX,68,NA,NA,Marlon Byrd,950,Rangers
W Harris,NA,49,48,66,83,36,38,15,34,15,0.76,NA,2005,CHA,NA,NA,NA,Willie Harris,236,White Sox
"Lind, Adam",LF,36,27,35,45,41,34,31,43,32,0.76,7859,2008,TOR,38,NA,NA,Adam Lind,8027,Blue Jays
"Goodwin, Tom",CF,NA,48,67,82,52,39,2,25,10,0.79,NA,2003,NA,NA,NA,32,Tom Goodwin,1114,Cubs
"Hall, Bill",NA,47,43,68,71,21,32,60,25,9,0.59,NA,2004,MIL,NA,25,88,Bill Hall,1605,Brewers
"Grissom, Marquis",CF,NA,62,68,68,55,48,36,46,15,0.74,NA,2003,NA,NA,NA,192,Marquis Grissom,652,Giants
"Glaus, Troy",NA,58,66,57,46,57,57,80,39,14,0.69,NA,2004,ANA,NA,28,18,Troy Glaus,15,Angels
R Ibanez,NA,42,41,37,44,44,42,47,49,22,0.76,NA,2005,SEA,NA,NA,NA,Raul Ibanez,607,Mariners
"Cabrera, Jolbert",NA,53,55,46,61,55,48,55,54,8,0.71,NA,2004,SEA,NA,32,92,Jolbert Cabrera,373,Mariners
"Lopez, Luis",NA,28,24,38,42,20,21,30,21,11,0.73,NA,2004,BAL,NA,34,16,Luis Lopez,695,Orioles
M LeCroy,NA,8,10,1,6,6,3,18,20,18,0.73,NA,2005,MIN,NA,NA,NA,Matthew LeCroy,1456,Twins
"Kapler, Gabe",NA,64,59,67,71,56,64,71,60,71,0.73,NA,2004,BOS,NA,29,83,Gabe Kapler,1256,Red Sox
"Bellhorn, Mark",2B,NA,31,41,46,32,46,52,44,15,0.72,NA,2003,NA,NA,NA,75,Mark Bellhorn,264,- - -
"Santiago, Ramon",SS,64,62,68,67,61,66,57,68,42,0.82,6933,2008,DET,64,NA,NA,Ramon Santiago,1417,Tigers
"McDonald, John",SS,80,85,81,63,85,90,66,87,54,0.82,6269,2006,TOR,NA,NA,NA,John McDonald,395,Blue Jays
"Dellucci, David",LF,30,27,34,42,23,26,27,31,8,0.81,5823,2007,CLE,NA,NA,NA,David Dellucci,1402,Indians
"DeShields, Delino",2B,NA,30,60,75,34,43,30,55,8,0.62,NA,2003,NA,NA,NA,34,Delino DeShields,275,Cubs
"Mohr, Dustan",RF,NA,56,61,57,60,52,55,57,9,0.76,NA,2003,NA,NA,NA,159,Dustan Mohr,744,Twins
"Burke, Jamie",C,36,42,31,28,41,39,38,38,118,0.75,6717,2007,SEA,NA,NA,NA,Jamie Burke,6,Mariners
"Giles, Brian",NA,62,59,63,54,64,62,62,75,4,0.68,NA,2004,SDN,NA,33,154,Brian Giles,990,Padres
"Mo Pena, Wily",RF,34,11,36,56,12,33,67,42,111,0.71,6522,2006,BOS,NA,NA,NA,Wily Mo Pena,344,Red Sox
"Ordonez, Magglio",RF,30,31,23,24,29,32,42,41,58,0.65,5889,2006,DET,NA,NA,NA,Magglio Ordonez,248,Tigers
"Gomez, Alexis",RF,50,45,56,60,49,48,42,46,27,0.79,6949,2006,DET,NA,NA,NA,Alexis Gomez,1501,Tigers
"Molina, Yadier",C,59,61,31,20,69,88,92,94,41,0.67,7345,2006,SLN,NA,NA,NA,Yadier Molina,7007,Cardinals
"Sosa, Sammy",RF,NA,44,46,58,37,38,63,26,26,0.49,NA,2003,NA,NA,NA,264,Sammy Sosa,302,Cubs
"Cuddyer, Michael",RF,57,47,41,39,52,81,89,90,23,0.75,6637,2008,MIN,52,NA,NA,Michael Cuddyer,1534,Twins
"Olivo, Miguel",C,73,73,76,77,47,82,88,81,7,0.69,7028,2006,FLO,NA,NA,NA,Miguel Olivo,1638,Marlins
M Lawton,NA,36,21,48,62,36,29,18,29,13,0.62,NA,2005,CHN,NA,NA,NA,Matt Lawton,390,- - -
"Jacobs, Mike",1B,17,17,17,19,5,18,30,21,19,0.65,7623,2008,FLO,15,NA,NA,Mike Jacobs,2231,Marlins
"Bay, Jason",LF,56,58,56,59,57,57,49,57,81,0.72,7143,2008,PIT,57,NA,NA,Jason Bay,1717,- - -
"Pierre, Juan",NA,62,78,85,92,55,47,0,39,5,0.66,NA,2004,FLO,NA,27,160,Juan Pierre,443,Marlins
R Winn,NA,49,49,59,70,51,42,12,38,36,0.74,NA,2005,SFN,NA,NA,NA,Randy Winn,1235,- - -
"Sosa, Sammy",RF,19,9,23,20,19,9,36,20,5,0.73,4344,2007,TEX,NA,NA,NA,Sammy Sosa,302,Rangers
"Durham, Ray",NA,39,35,54,70,7,23,45,38,27,0.72,NA,2004,SFN,NA,33,110,Ray Durham,230,Giants
"Podsednik, Scott",CF,NA,60,65,68,55,57,30,55,6,0.8,NA,2003,NA,NA,NA,135,Scott Podsednik,1095,Brewers
"Pagan, Angel",CF,51,49,63,68,40,49,33,39,15,0.74,7717,2007,CHN,NA,NA,NA,Angel Pagan,2918,Cubs
"Encarnacion, Edwin",3B,59,79,77,65,55,22,75,2,30,0.69,7278,2006,CIN,NA,NA,NA,Edwin Encarnacion,2151,Reds
"Rios, Alex",NA,67,51,63,78,55,67,88,86,23,0.74,NA,2004,TOR,NA,23,107,Alex Rios,2090,Blue Jays
"Lopez, Jose",2B,58,58,57,52,60,60,56,67,296,0.74,7392,2007,SEA,NA,NA,NA,Jose Lopez,3114,Mariners
"Ankiel, Rick",CF,65,49,62,68,58,66,94,82,69,0.7,6320,2008,SLN,64,NA,NA,Rick Ankiel,1142,Cardinals
"Jones, Andruw",NA,84,89,90,73,87,84,79,80,25,0.81,NA,2004,ATL,NA,27,150,Andruw Jones,96,Braves
"Griffey Jr., Ken",RF,55,67,35,33,71,67,53,71,22,0.67,4305,2007,CIN,NA,NA,NA,Ken Griffey Jr.,327,Reds
"Iwamura, Akinori",2B,72,75,72,61,76,83,56,77,39,0.76,7908,2008,TBA,73,NA,NA,Akinori Iwamura,7781,Rays
"Fasano, Sal",C,30,38,8,13,45,33,41,43,10,0.84,5553,2008,CLE,37,NA,NA,Sal Fasano,1205,Indians
B Hall,NA,49,46,66,69,29,28,66,32,28,0.73,NA,2005,MIL,NA,NA,NA,Bill Hall,1605,Brewers
"Bagwell, Jeff",1B,NA,71,60,48,67,57,3,27,10,0.58,NA,2003,NA,NA,NA,287,Jeff Bagwell,547,Astros
C Duffy,NA,79,92,92,86,78,71,47,60,8,0.84,NA,2005,PIT,NA,NA,NA,Chris Duffy,3605,Pirates
"Lamb, Mike",1B,38,39,42,42,27,32,43,39,13,0.81,6390,2006,HOU,NA,NA,NA,Mike Lamb,1258,Astros
"McCarty, David",NA,59,64,53,41,71,63,58,61,43,0.67,NA,2004,BOS,NA,35,39,David McCarty,1462,Red Sox
"Ramirez, Manny",LF,35,20,22,28,36,52,50,62,283,0.59,5132,2007,BOS,NA,NA,NA,Manny Ramirez,210,Red Sox
"Beltre, Adrian",3B,82,86,78,63,87,88,89,84,158,0.81,6039,2008,SEA,84,NA,NA,Adrian Beltre,639,Mariners
"Giles, Marcus",2B,NA,58,59,59,45,61,56,53,20,0.63,NA,2003,NA,NA,NA,201,Marcus Giles,89,Braves
"Lee, Derrek",NA,71,77,65,64,89,71,55,74,30,0.8,NA,2004,CHN,NA,29,159,Derrek Lee,525,Cubs
"Rouse, Mike",2B,46,42,39,45,46,56,55,44,6,0.7,7794,2007,CLE,NA,NA,NA,Mike Rouse,1893,Indians
"Renteria, Edgar",SS,61,64,53,53,68,70,56,74,27,0.71,5602,2007,ATL,NA,NA,NA,Edgar Renteria,1178,Braves
R Branyan,NA,42,40,36,36,44,39,57,53,24,0.71,NA,2005,MIL,NA,NA,NA,Russell Branyan,370,Brewers
"Furcal, Rafael",SS,81,80,86,86,72,77,91,77,29,0.82,6404,2008,LAN,81,NA,NA,Rafael Furcal,88,Dodgers
M Diaz,NA,37,29,35,45,51,33,34,31,4,0.81,NA,2005,KCA,NA,NA,NA,Matt Diaz,1771,Royals
D Young,NA,14,19,8,14,10,11,26,16,26,0.75,NA,2005,DET,NA,NA,NA,Dmitri Young,505,Tigers
"Mo Pena, Wily",NA,48,31,62,78,24,28,75,44,13,0.61,NA,2004,CIN,NA,22,80,Wily Mo Pena,344,Reds
"Hall, Toby",C,22,30,16,14,25,23,20,24,23,0.74,6599,2008,CHA,24,NA,NA,Toby Hall,1210,White Sox
"Pierzynski, A.J.",C,31,49,21,25,38,26,21,28,15,0.66,6109,2007,CHA,NA,NA,NA,A.J. Pierzynski,746,White Sox
"Ross, Cody",LF,52,48,58,50,47,53,52,57,5,0.84,7053,2006,FLO,NA,NA,NA,Cody Ross,1760,- - -
"Gibbons, Jay",NA,35,24,27,30,38,40,54,51,30,0.69,NA,2004,BAL,NA,27,75,Jay Gibbons,141,Orioles
"Winn, Randy",RF,50,50,56,71,54,45,28,31,48,0.79,5998,2006,SFN,NA,NA,NA,Randy Winn,1235,Giants
"Ethier, Andre",RF,68,68,64,57,66,75,71,83,40,0.81,7710,2008,LAN,65,NA,NA,Andre Ethier,6265,Dodgers
"Clark, Tony",1B,NA,46,29,23,64,53,43,49,13,0.53,NA,2003,NA,NA,NA,115,Tony Clark,182,Mets
"Monroe, Craig",NA,25,17,30,37,16,20,32,28,4,0.68,NA,2004,DET,NA,27,114,Craig Monroe,1464,Tigers
"Bocachica, Hiram",NA,55,51,60,67,62,45,50,49,10,0.7,NA,2004,SEA,NA,28,29,Hiram Bocachica,1404,Mariners
"Green, Andy",NA,37,30,36,28,51,55,29,25,2,0.79,NA,2004,ARI,NA,27,24,Andy Green,2991,Diamondbacks
A Rios,NA,66,46,62,78,58,67,88,79,65,0.81,NA,2005,TOR,NA,NA,NA,Alex Rios,2090,Blue Jays
"Koskie, Corey",NA,69,77,65,42,75,78,70,78,19,0.8,NA,2004,MIN,NA,31,112,Corey Koskie,738,Twins
"Drew, J.D.",RF,68,72,70,68,64,69,63,65,128,0.83,6117,2008,BOS,68,NA,NA,J.D. Drew,1152,Red Sox
"Quiroz, Guillermo",C,45,48,28,27,55,57,58,53,39,0.67,7275,2008,BAL,52,NA,NA,Guillermo Quiroz,7989,Orioles
"Merloni, Lou",NA,44,45,42,41,42,46,49,42,11,0.73,NA,2004,CLE,NA,33,49,Lou Merloni,201,Indians
"Zobrist, Ben",SS,58,63,60,50,50,56,61,70,4,0.61,7829,2006,TBA,NA,NA,NA,Ben Zobrist,7435,Devil Rays
"Pena, Tony",SS,66,64,73,60,67,66,68,53,23,0.58,7731,2007,KCA,NA,NA,NA,Tony Pena,2240,Royals
"Nixon, Trot",NA,57,64,52,49,62,60,59,55,80,0.77,NA,2004,BOS,NA,30,34,Trot Nixon,204,Red Sox
"Baker, Jeff",2B,41,35,41,44,34,35,59,47,9,0.75,7041,2008,COL,39,NA,NA,Jeff Baker,2073,Rockies
"Treanor, Matt",C,55,62,38,32,69,67,64,66,7,0.59,7344,2006,FLO,NA,NA,NA,Matt Treanor,2265,Marlins
"Wilson, Vance",C,NA,50,53,39,61,73,63,71,11,0.7,NA,2003,NA,NA,NA,117,Vance Wilson,903,Mets
T Iguchi,NA,64,63,67,60,68,65,55,72,20,0.85,NA,2005,CHA,NA,NA,NA,Tadahito Iguchi,8581,White Sox
"Merloni, Lou",2B,NA,36,41,42,42,39,43,47,16,0.78,NA,2003,NA,NA,NA,57,Lou Merloni,201,- - -
"Gload, Ross",NA,45,49,45,46,49,41,38,44,14,0.67,NA,2004,CHA,NA,28,50,Ross Gload,1538,White Sox
A Soriano,NA,42,24,66,81,0,32,58,32,30,0.47,NA,2005,TEX,NA,NA,NA,Alfonso Soriano,847,Rangers
"Kapler, Gabe",RF,54,43,59,66,45,48,65,52,85,0.64,6140,2006,BOS,NA,NA,NA,Gabe Kapler,1256,Red Sox
"McDonald, John",SS,86,93,85,68,90,97,71,94,45,0.85,6269,2008,TOR,87,NA,NA,John McDonald,395,Blue Jays
"Tucker, Michael",NA,45,37,55,62,42,34,43,35,20,0.79,NA,2004,SFN,NA,33,112,Michael Tucker,635,Giants
"Jones, Chipper",3B,63,71,52,44,72,76,63,72,24,0.79,5164,2008,ATL,65,NA,NA,Chipper Jones,97,Braves
"Atkins, Garrett",3B,38,36,25,31,36,41,64,57,14,0.63,7145,2006,COL,NA,NA,NA,Garrett Atkins,1790,Rockies
"Bradley, Milton",LF,66,67,70,72,61,55,72,64,36,0.77,6406,2007,SDN,NA,NA,NA,Milton Bradley,369,- - -
"Damon, Johnny",NA,58,72,77,83,66,43,2,32,100,0.71,NA,2004,BOS,NA,31,140,Johnny Damon,185,Red Sox
"Giles, Brian",RF,58,71,56,53,67,52,39,59,15,0.73,5543,2006,SDN,NA,NA,NA,Brian Giles,990,Padres
"Michaels, Jason",LF,40,40,44,44,34,33,41,43,22,0.78,6696,2006,CLE,NA,NA,NA,Jason Michaels,1399,Indians
"Kotsay, Mark",CF,72,83,66,52,78,82,63,85,38,0.69,5846,2007,OAK,NA,NA,NA,Mark Kotsay,1042,Athletics
"Lo Duca, Paul",C,21,36,18,17,27,22,0,11,11,0.53,6032,2008,WAS,19,NA,NA,Paul Lo Duca,662,- - -
"Gonzalez, Raul",LF,NA,36,44,45,38,33,39,29,7,0.83,NA,2003,NA,NA,NA,38,Raul Gonzalez,1553,Mets
"Wright, David",3B,66,76,72,66,67,59,67,32,51,0.71,7382,2007,NYN,NA,NA,NA,David Wright,3787,Mets
"Sweeney, Mike",NA,21,17,21,24,4,20,32,34,12,0.75,NA,2004,KCA,NA,31,52,Mike Sweeney,634,Royals
"Winn, Randy",RF,57,58,62,66,61,55,35,49,40,0.82,5998,2007,SFN,NA,NA,NA,Randy Winn,1235,Giants
"Durham, Ray",2B,42,41,53,60,12,41,42,50,49,0.63,5323,2006,SFN,NA,NA,NA,Ray Durham,230,Giants
"Suzuki, Kurt",C,64,69,61,56,63,70,62,70,23,0.72,8052,2008,OAK,66,NA,NA,Kurt Suzuki,8259,Athletics
"Mueller, Bill",3B,37,59,34,22,29,21,47,49,8,0.61,5587,2006,LAN,NA,NA,NA,Bill Mueller,295,Dodgers
"Davis, Ben",NA,38,31,31,31,44,44,50,44,20,0.65,NA,2004,CHA,NA,27,44,Ben Davis,1074,- - -
"Rolls, Damian",NA,62,74,63,66,64,52,47,57,5,0.86,NA,2004,TBA,NA,27,31,Damian Rolls,1222,Devil Rays
"Castillo, Jose",2B,47,37,46,46,40,38,85,46,21,0.5,7302,2006,PIT,NA,NA,NA,Jose Castillo,1866,Pirates
"Jones, Andruw",CF,78,92,80,55,88,78,66,82,23,0.74,5681,2006,ATL,NA,NA,NA,Andruw Jones,96,Braves
"Matsui, Hideki",NA,52,55,51,47,44,67,44,57,39,0.52,NA,2004,NYA,NA,30,156,Hideki Matsui,1659,Yankees
R Cedeno,NA,62,58,70,66,60,61,52,63,11,0.76,NA,2005,CHN,NA,NA,NA,Ronny Cedeno,2179,Cubs
"Gathright, Joey",LF,52,42,86,89,36,30,18,35,17,0.66,7348,2007,KCA,NA,NA,NA,Joey Gathright,3913,Royals
"Zobrist, Ben",SS,40,37,44,44,32,45,40,37,14,0.75,7829,2007,TBA,NA,NA,NA,Ben Zobrist,7435,Devil Rays
"Jeter, Derek",SS,NA,29,23,67,56,45,73,64,57,0.51,NA,2003,NA,NA,NA,254,Derek Jeter,826,Yankees
"Cash, Kevin",C,46,49,32,25,56,56,61,56,61,0.69,7001,2008,BOS,53,NA,NA,Kevin Cash,1593,Red Sox
"Nieves, Wil",C,56,58,60,48,51,61,63,53,9,0.7,6968,2008,WAS,57,NA,NA,Wil Nieves,1556,Nationals
"Wells, Vernon",CF,77,86,81,74,80,71,61,71,94,0.78,6327,2007,TOR,NA,NA,NA,Vernon Wells,1326,Blue Jays
"Cameron, Mike",CF,72,79,80,81,71,61,57,55,28,0.77,5492,2007,SDN,NA,NA,NA,Mike Cameron,1070,Padres
"Gil, Benji",2B,NA,34,44,40,25,24,65,45,6,0.63,NA,2003,NA,NA,NA,39,Benji Gil,14,Angels
"Castillo, Jose",3B,34,30,36,33,30,31,47,41,41,0.51,7302,2008,SFN,37,NA,NA,Jose Castillo,1866,- - -
"Wilson, Vance",C,56,61,48,35,64,67,60,63,46,0.72,6064,2006,DET,NA,NA,NA,Vance Wilson,903,Tigers
"Buck, John",C,45,51,30,27,55,55,58,53,14,0.61,7056,2006,KCA,NA,NA,NA,John Buck,2041,Royals
"Michaels, Jason",LF,51,50,57,56,53,45,41,49,19,0.8,6696,2007,CLE,NA,NA,NA,Jason Michaels,1399,Indians
"Thigpen, Curtis",1B,51,51,49,51,46,55,55,55,37,0.71,8043,2007,TOR,NA,NA,NA,Curtis Thigpen,8260,Blue Jays
"Bragg, Darren",RF,NA,32,55,54,40,35,19,37,11,0.61,NA,2003,NA,NA,NA,39,Darren Bragg,83,Braves
"Hocking, Denny",NA,1,0,0,7,0,0,0,0,1,0,NA,2004,COL,NA,34,22,Denny Hocking,730,Rockies
"Mench, Kevin",LF,32,25,33,38,33,31,36,33,14,0.68,6900,2008,TOR,33,NA,NA,Kevin Mench,1261,Blue Jays
"Gibbons, Jay",RF,39,39,30,35,28,47,58,61,14,0.76,6635,2006,BAL,NA,NA,NA,Jay Gibbons,141,Orioles
R Ledee,NA,49,48,53,47,54,42,47,53,15,0.7,NA,2005,LAN,NA,NA,NA,Ricky Ledee,1407,Dodgers
"Randa, Joe",3B,NA,69,56,47,69,66,70,82,6,0.67,NA,2003,NA,NA,NA,254,Joe Randa,623,Royals
L Castillo,NA,88,99,87,83,94,86,68,87,4,0.81,NA,2005,FLO,NA,NA,NA,Luis Castillo,513,Marlins
"Monroe, Craig",LF,49,45,49,54,45,47,59,53,53,0.74,6773,2006,DET,NA,NA,NA,Craig Monroe,1464,Tigers
"Reed, Jeremy",CF,58,60,67,68,60,49,37,47,119,0.8,7284,2008,SEA,61,NA,NA,Jeremy Reed,4730,Mariners
"Vidro, Jose",NA,44,62,38,28,49,37,38,56,7,0.54,NA,2004,MON,NA,30,98,Jose Vidro,802,Expos
"Palmeiro, Rafael",NA,47,56,30,26,67,53,42,56,21,0.5,NA,2004,BAL,NA,40,126,Rafael Palmeiro,1266,Orioles
J Rivera,NA,52,47,48,49,43,57,70,61,19,0.79,NA,2005,ANA,NA,NA,NA,Juan Rivera,843,Angels
S Burroughs,NA,55,53,54,57,63,46,57,52,12,0.8,NA,2005,SDN,NA,NA,NA,Sean Burroughs,1021,Padres
A Perez,NA,47,43,60,71,30,35,47,36,22,0.61,NA,2005,LAN,NA,NA,NA,Antonio Perez,1708,Dodgers
"Logan, Nook",CF,49,39,66,87,47,41,16,19,32,0.62,7384,2007,WAS,NA,NA,NA,Nook Logan,2076,Nationals
H Matsui,NA,50,50,47,45,43,76,38,59,39,0.62,NA,2005,NYA,NA,NA,NA,Hideki Matsui,1659,Yankees
"Mora, Melvin",3B,52,59,49,49,52,50,55,46,68,0.7,6239,2008,BAL,52,NA,NA,Melvin Mora,157,Orioles
"Piazza, Mike",C,24,49,12,13,55,18,0,0,12,0.75,4928,2006,SDN,NA,NA,NA,Mike Piazza,893,Padres
S Taguchi,NA,68,72,73,75,64,71,49,69,19,0.76,NA,2005,SLN,NA,NA,NA,So Taguchi,1186,Cardinals
"Nixon, Trot",RF,49,51,49,41,53,48,53,48,112,0.72,5731,2006,BOS,NA,NA,NA,Trot Nixon,204,Red Sox
"Bako, Paul",C,36,43,19,29,45,46,41,39,5,0.61,5990,2006,KCA,NA,NA,NA,Paul Bako,676,Royals
K Stinnett,NA,40,39,32,24,50,49,48,47,23,0.7,NA,2005,ARI,NA,NA,NA,Kelly Stinnett,356,Diamondbacks
"LaHair, Bryan",1B,34,32,31,30,40,38,36,35,39,0.76,7979,2008,SEA,35,NA,NA,Bryan LaHair,5462,Mariners
"Miles, Aaron",2B,34,31,39,47,25,33,30,36,29,0.8,7228,2006,SLN,NA,NA,NA,Aaron Miles,1844,Cardinals
"Pellow, Kit",NA,11,17,12,18,0,13,16,0,1,0.21,NA,2004,COL,NA,31,26,Kit Pellow,1576,Rockies
J Cruz,NA,48,47,44,47,44,48,61,51,7,0.57,NA,2005,LAN,NA,NA,NA,Jose Cruz,1296,- - -
"Beltran, Carlos",CF,80,79,86,86,85,74,68,74,35,0.79,6132,2006,NYN,NA,NA,NA,Carlos Beltran,589,Mets
"Giles, Brian",RF,60,79,67,52,69,59,19,47,61,0.7,5543,2008,SDN,60,NA,NA,Brian Giles,990,Padres
"Buck, John",C,39,42,26,24,49,42,53,47,16,0.68,7056,2007,KCA,NA,NA,NA,John Buck,2041,Royals
"Pie, Felix",CF,69,65,83,85,66,51,62,56,37,0.57,7704,2008,CHN,74,NA,NA,Felix Pie,3751,Cubs
"Sledge, Terrmel",LF,31,11,41,59,22,28,31,23,7,0.83,7188,2007,SDN,NA,NA,NA,Terrmel Sledge,1878,Padres
"Kennedy, Adam",NA,70,74,76,63,72,71,51,76,16,0.69,NA,2004,ANA,NA,28,136,Adam Kennedy,19,Angels
"Rolen, Scott",3B,83,92,75,57,88,97,87,98,43,0.86,5668,2008,TOR,87,NA,NA,Scott Rolen,970,Blue Jays
"Norton, Greg",LF,18,12,17,25,18,14,25,12,11,0.6,5687,2008,ATL,19,NA,NA,Greg Norton,1388,- - -
"Menechino, Frank",2B,NA,50,48,48,53,51,39,55,14,0.72,NA,2003,NA,NA,NA,44,Frank Menechino,931,Athletics
"Clark, Howie",3B,34,28,40,46,28,29,34,34,20,0.77,6962,2007,TOR,NA,NA,NA,Howie Clark,1533,Blue Jays
"Clement, Jeff",C,24,24,29,30,17,12,32,20,75,0.63,7923,2008,SEA,22,NA,NA,Jeff Clement,4652,Mariners
"Fahey, Brandon",LF,55,57,56,57,55,58,41,63,14,0.65,7750,2006,BAL,NA,NA,NA,Brandon Fahey,4746,Orioles
"Barfield, Josh",2B,64,68,69,70,62,59,50,57,29,0.69,7295,2007,CLE,NA,NA,NA,Josh Barfield,3622,Indians
"Alou, Moises",RF,38,41,33,32,43,37,41,40,40,0.65,4517,2006,SFN,NA,NA,NA,Moises Alou,261,Giants
T Perez,NA,36,43,31,36,26,41,45,28,6,0.77,NA,2005,PHI,NA,NA,NA,Tomas Perez,965,Phillies
"Adams, Russ",SS,34,37,52,60,26,15,21,0,45,0.62,7429,2006,TOR,NA,NA,NA,Russ Adams,4519,Blue Jays
"Pujols, Albert",NA,66,80,64,45,75,59,64,69,14,0.76,NA,2004,SLN,NA,24,149,Albert Pujols,1177,Cardinals
"Kubel, Jason",LF,38,33,29,32,39,39,62,49,23,0.7,7425,2006,MIN,NA,NA,NA,Jason Kubel,2161,Twins
"Matsui, Hideki",LF,46,47,45,48,41,63,26,49,30,0.54,7042,2006,NYA,NA,NA,NA,Hideki Matsui,1659,Yankees
"Williams, Bernie",NA,31,26,27,48,46,31,7,30,39,0.58,NA,2004,NYA,NA,36,92,Bernie Williams,857,Yankees
"Burke, Chris",2B,59,63,67,69,51,52,45,51,13,0.77,7057,2006,HOU,NA,NA,NA,Chris Burke,2164,Astros
"Williams, Gerald",NA,26,17,32,35,28,32,7,30,3,0.64,NA,2004,NYN,NA,38,30,Gerald Williams,1395,Mets
"Castro, Juan",SS,66,72,58,54,75,76,56,75,45,0.72,5508,2008,BAL,67,NA,NA,Juan Castro,315,- - -
"Hairston, Jerry",SS,54,53,62,67,47,50,38,48,29,0.81,6127,2008,CIN,53,NA,NA,Jerry Hairston,144,Reds
M Rose,NA,32,31,26,28,46,41,32,17,6,0.55,NA,2005,LAN,NA,NA,NA,Mike Rose,2278,Dodgers
"Gonzalez, Andy",LF,32,28,35,45,17,34,41,20,5,0.73,8011,2007,CHA,NA,NA,NA,Andy Gonzalez,3669,White Sox
"Winn, Randy",NA,38,37,45,71,31,26,6,34,14,0.59,NA,2004,SEA,NA,30,151,Randy Winn,1235,Mariners
"Perez, Neifi",SS,44,43,43,37,53,42,39,52,19,0.52,5702,2007,DET,NA,NA,NA,Neifi Perez,620,Tigers
"Izturis, Maicer",SS,70,70,68,68,74,77,54,79,13,0.79,7420,2008,ANA,70,NA,NA,Maicer Izturis,2437,Angels
"Navarro, Dioner",C,47,56,40,31,48,51,59,49,12,0.73,7276,2006,TBA,NA,NA,NA,Dioner Navarro,3179,- - -
J Dye,NA,55,45,51,53,49,61,71,73,23,0.77,NA,2005,CHA,NA,NA,NA,Jermaine Dye,911,White Sox
"Patterson, Corey",CF,NA,63,77,83,61,51,48,47,23,0.73,NA,2003,NA,NA,NA,183,Corey Patterson,300,Cubs
"Guerrero, Vladimir",RF,NA,48,51,70,25,68,96,57,9,0.49,NA,2003,NA,NA,NA,261,Vladimir Guerrero,778,Expos
"Boone, Aaron",3B,37,33,36,35,29,45,43,45,22,0.56,5838,2006,CLE,NA,NA,NA,Aaron Boone,311,Indians
"Matheny, Mike",C,61,64,50,23,85,83,60,73,25,0.66,5205,2006,SFN,NA,NA,NA,Mike Matheny,1169,Giants
J Valentin,NA,32,33,22,20,42,39,41,37,15,0.78,NA,2005,CIN,NA,NA,NA,Javier Valentin,759,Reds
C Ambres,NA,48,54,69,63,25,34,35,45,5,0.84,NA,2005,KCA,NA,NA,NA,Chip Ambres,2042,Royals
"Griffey Jr., Ken",CF,NA,74,64,65,72,67,54,53,7,0.35,NA,2003,NA,NA,NA,85,Ken Griffey Jr.,327,Reds
"Spencer, Shane",LF,NA,53,49,45,51,44,51,37,23,0.68,NA,2003,NA,NA,NA,82,Shane Spencer,848,- - -
"Hernandez, Ramon",NA,50,56,12,18,71,69,68,76,4,0.8,NA,2004,SDN,NA,28,103,Ramon Hernandez,918,Padres
G Anderson,NA,45,37,30,37,59,57,48,69,27,0.64,NA,2005,ANA,NA,NA,NA,Garret Anderson,2,Angels
J Cruz,NA,24,18,19,30,33,28,16,26,10,0.7,NA,2005,CIN,NA,NA,NA,Jacob Cruz,463,Reds
"Hawpe, Brad",NA,22,17,24,50,10,13,42,0,1,0,NA,2004,COL,NA,25,27,Brad Hawpe,1885,Rockies
"Fahey, Brandon",SS,49,45,56,53,49,50,35,50,25,0.58,7750,2007,BAL,NA,NA,NA,Brandon Fahey,4746,Orioles
"Hairston, Scott",LF,42,37,52,57,30,35,38,41,14,0.51,7046,2007,ARI,NA,NA,NA,Scott Hairston,1926,- - -
"Kotsay, Mark",NA,83,91,89,78,85,82,67,80,30,0.85,NA,2004,OAK,NA,29,139,Mark Kotsay,1042,Athletics
"Wright, David",NA,68,69,71,66,64,69,74,65,15,0.79,NA,2004,NYN,NA,22,67,David Wright,3787,Mets
"DeVore, Doug",NA,51,43,61,60,37,55,42,54,2,0.86,NA,2004,ARI,NA,27,23,Doug DeVore,1923,Diamondbacks
A Pujols,NA,65,77,60,44,77,70,62,66,26,0.74,NA,2005,SLN,NA,NA,NA,Albert Pujols,1177,Cardinals
"Kubel, Jason",LF,32,23,27,30,39,31,43,44,18,0.74,7425,2007,MIN,NA,NA,NA,Jason Kubel,2161,Twins
"Crawford, Carl",NA,78,85,92,92,70,78,50,56,8,0.79,NA,2004,TBA,NA,23,137,Carl Crawford,1201,Devil Rays
"Matsui, Hideki",LF,38,34,36,38,40,54,25,38,53,0.71,7042,2007,NYA,NA,NA,NA,Hideki Matsui,1659,Yankees
"Cano, Robinson",2B,52,48,52,54,43,56,63,57,43,0.62,7497,2006,NYA,NA,NA,NA,Robinson Cano,3269,Yankees
