Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Riggans, Shawn",C,44,41,42,45,44,45,49,41,33,0.69,7870,2008,TBA,44,NA,NA,Shawn Riggans,3393,Rays
"Hernandez, Ramon",C,62,68,40,35,62,85,87,80,19,0.59,6258,2006,BAL,NA,NA,NA,Ramon Hernandez,918,Orioles
"Castilla, Vinny",NA,63,56,53,32,82,83,76,74,6,0.65,NA,2004,COL,NA,37,143,Vinny Castilla,84,Rockies
"Perez, Tomas",SS,43,48,43,37,47,41,36,45,5,0.76,5310,2006,TBA,NA,NA,NA,Tomas Perez,965,Devil Rays
"Owens, Jerry",CF,51,53,76,86,42,34,4,23,10,0.75,7846,2007,CHA,NA,NA,NA,Jerry Owens,6002,White Sox
"Holliday, Matt",LF,31,11,32,51,32,28,39,32,14,0.64,7311,2006,COL,NA,NA,NA,Matt Holliday,1873,Rockies
"Delgado, Carlos",1B,24,25,17,19,43,24,20,20,39,0.64,5178,2008,NYN,26,NA,NA,Carlos Delgado,1297,Mets
"Jones, Chipper",3B,45,46,39,40,43,45,58,52,16,0.57,5164,2006,ATL,NA,NA,NA,Chipper Jones,97,Braves
"Patterson, Corey",CF,65,48,89,90,68,52,41,44,48,0.74,6400,2007,BAL,NA,NA,NA,Corey Patterson,300,Orioles
"Laird, Gerald",C,68,67,62,65,61,76,76,77,12,0.65,7129,2006,TEX,NA,NA,NA,Gerald Laird,1698,Rangers
"Lowell, Mike",3B,67,79,55,35,77,83,70,82,300,0.76,6133,2007,BOS,NA,NA,NA,Mike Lowell,527,Red Sox
"Milledge, Lastings",CF,51,24,55,77,47,47,70,45,29,0.71,7706,2007,NYN,NA,NA,NA,Lastings Milledge,6441,Mets
"Iannetta, Chris",C,40,28,27,35,52,54,53,48,6,0.79,7845,2007,COL,NA,NA,NA,Chris Iannetta,8267,Rockies
"Martinez, Victor",NA,44,52,38,39,53,41,49,29,14,0.55,NA,2004,CLE,NA,26,123,Victor Martinez,393,Indians
"Spilborghs, Ryan",CF,45,39,52,58,36,37,44,47,7,0.76,7598,2006,COL,NA,NA,NA,Ryan Spilborghs,4521,Rockies
"Bell, David",3B,53,59,51,37,52,60,52,61,33,0.65,5343,2006,PHI,NA,NA,NA,David Bell,1108,- - -
"Shoppach, Kelly",C,53,60,34,31,55,73,73,71,16,0.77,7493,2007,CLE,NA,NA,NA,Kelly Shoppach,3867,Indians
"Restovich, Mike",NA,47,43,49,47,43,50,59,43,9,0.68,NA,2004,MIN,NA,25,11,Mike Restovich,751,Twins
"Bloomquist, Willie",CF,37,27,46,65,34,29,22,29,180,0.6,6636,2006,SEA,NA,NA,NA,Willie Bloomquist,1066,Mariners
"Giambi, Jason",1B,NA,34,16,15,48,14,25,9,46,0.72,NA,2003,NA,NA,NA,163,Jason Giambi,818,Yankees
"Cintron, Alex",SS,16,15,24,33,6,7,11,6,44,0.67,6766,2008,BAL,15,NA,NA,Alex Cintron,50,Orioles
"Stewart, Ian",3B,64,67,72,55,56,62,76,59,9,0.74,7993,2008,COL,66,NA,NA,Ian Stewart,5950,Rockies
"Rivera, Juan",LF,44,34,37,43,39,50,72,56,14,0.73,6805,2008,ANA,41,NA,NA,Juan Rivera,843,Angels
"McLouth, Nate",CF,49,54,50,68,52,43,33,28,9,0.62,7513,2007,PIT,NA,NA,NA,Nate McLouth,3190,Pirates
"Uribe, Juan",SS,58,60,61,53,50,48,86,47,19,0.59,6698,2007,CHA,NA,NA,NA,Juan Uribe,454,White Sox
"Duncan, Chris",LF,14,0,19,33,0,7,28,20,52,0.73,7658,2008,SLN,17,NA,NA,Chris Duncan,2722,Cardinals
"Young, Eric",LF,25,5,36,58,21,23,0,27,6,0.59,4905,2006,SDN,NA,NA,NA,Eric Young,716,- - -
S Podsednik,NA,50,33,65,85,51,41,20,33,21,0.56,NA,2005,CHA,NA,NA,NA,Scott Podsednik,1095,White Sox
"Ethier, Andre",RF,60,55,60,56,61,62,64,65,57,0.76,7710,2007,LAN,NA,NA,NA,Andre Ethier,6265,Dodgers
T Walker,NA,37,41,35,40,32,36,35,45,19,0.68,NA,2005,CHN,NA,NA,NA,Todd Walker,359,Cubs
C Izturis,NA,83,88,87,71,84,87,73,86,41,0.82,NA,2005,LAN,NA,NA,NA,Cesar Izturis,656,Dodgers
"Hardy, J.J.",SS,68,73,55,46,78,80,78,80,26,0.79,7283,2008,MIL,69,NA,NA,J.J. Hardy,3797,Brewers
"Schumaker, Skip",RF,62,64,71,66,58,58,51,58,27,0.78,7567,2007,SLN,NA,NA,NA,Skip Schumaker,3704,Cardinals
"Velarde, Randy",2B,NA,64,62,59,51,67,47,58,7,0.71,NA,2003,NA,NA,NA,30,Randy Velarde,942,Athletics
"Millar, Kevin",LF,NA,35,23,25,29,29,37,33,31,0.74,NA,2003,NA,NA,NA,114,Kevin Millar,529,Red Sox
