"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2000","Richard Hidalgo","Astros","153","644","44","118","122","13","8.7 %","17.1 %",".323",".317",".314",".391",".636",".428","149","-0.1","42.6","13.2","7.3","561"
"2008","Carlos Beltran","Mets","161","706","27","116","112","25","13.0 %","13.6 %",".216",".297",".284",".376",".500",".375","129","9.8","35.3","14.8","7.3","589"
"2001","Albert Pujols","Cardinals","161","676","37","112","130","1","10.2 %","13.8 %",".281",".336",".329",".403",".610",".423","159","-1.1","50.7","0.9","7.2","1177"
"2006","Chase Utley","Phillies","160","739","32","131","102","15","8.5 %","17.9 %",".219",".343",".309",".379",".527",".388","130","10.5","39.7","9.9","7.2","1679"
"2005","Chase Utley","Phillies","147","628","28","93","105","16","11.0 %","17.4 %",".249",".315",".291",".376",".540",".388","134","4.7","31.8","19.1","7.2","1679"
"2002","Vladimir Guerrero","Expos","161","709","39","106","111","40","11.8 %","9.9 %",".257",".327",".336",".417",".593",".419","155","0.8","49.3","-0.9","7.1","778"
"2009","Evan Longoria","Rays","157","671","33","100","113","9","10.7 %","20.9 %",".245",".313",".281",".364",".526",".377","132","-0.4","26.8","21.6","7.1","9368"
"2001","Rich Aurilia","Giants","156","689","37","114","97","1","6.8 %","12.0 %",".248",".326",".324",".369",".572",".397","144","-1.1","38.5","11.8","7.1","1106"
"2008","Chipper Jones","Braves","128","534","22","82","75","4","16.9 %","11.4 %",".210",".383",".364",".470",".574",".445","174","-0.4","49.5","4.6","7.1","97"
"2009","Hanley Ramirez","Marlins","151","652","24","101","106","27","9.4 %","15.5 %",".201",".379",".342",".410",".543",".407","149","5.1","44.0","6.2","7.1","8001"
"2001","Todd Helton","Rockies","159","697","49","132","146","7","14.1 %","14.9 %",".349",".337",".336",".432",".685",".457","160","-0.8","54.3","-4.7","7.1","432"
"2004","Ichiro Suzuki","Mariners","161","762","8","101","60","36","6.4 %","8.3 %",".082",".399",".372",".414",".455",".375","131","3.5","33.9","12.9","7.1","1101"
"2008","David Wright","Mets","160","736","33","115","124","15","12.8 %","16.0 %",".232",".321",".302",".390",".534",".396","143","-1.4","38.3","8.2","7.0","3787"
"2004","Todd Helton","Rockies","154","683","32","115","96","3","18.6 %","10.5 %",".272",".352",".347",".469",".620",".454","166","3.0","60.7","-11.7","7.0","432"
"2005","Derrek Lee","Cubs","158","691","46","120","107","15","12.3 %","15.8 %",".327",".343",".335",".418",".662",".444","170","0.0","61.0","-14.2","7.0","525"
"2003","Carlos Beltran","Royals","141","602","26","102","100","41","12.0 %","13.5 %",".215",".318",".307",".389",".522",".389","134","14.0","39.3","10.3","6.9","589"
"2008","Mark Teixeira","- - -","157","685","33","102","121","2","14.2 %","13.6 %",".244",".316",".308",".410",".552",".410","152","0.7","44.9","1.7","6.9","1281"
"2000","Bobby Abreu","Phillies","154","680","25","103","79","28","14.7 %","17.1 %",".238",".358",".316",".416",".554",".413","143","2.0","42.0","8.2","6.9","945"
"2002","Brian Giles","Pirates","153","644","38","95","103","15","21.0 %","11.5 %",".324",".282",".298",".450",".622",".444","174","1.3","60.7","-12.8","6.9","990"
"2007","Chipper Jones","Braves","134","600","29","108","102","5","13.7 %","12.5 %",".267",".348",".337",".425",".604",".434","163","-1.1","47.6","3.0","6.9","97"
"2007","Matt Holliday","Rockies","158","713","36","120","137","11","8.8 %","17.7 %",".267",".377",".340",".405",".607",".428","151","2.6","49.4","-2.6","6.9","1873"
"2001","Lance Berkman","Astros","156","688","34","110","126","7","13.4 %","17.6 %",".289",".367",".331",".430",".620",".440","164","-2.5","55.4","-7.8","6.8","548"
"2005","Brian Roberts","Orioles","143","640","18","92","73","27","10.5 %","13.0 %",".201",".341",".314",".387",".515",".387","140","3.5","34.8","11.5","6.8","166"
"2003","Javy Lopez","Braves","129","495","43","89","109","0","6.7 %","18.2 %",".359",".329",".328",".378",".687",".442","170","-1.0","43.3","9.2","6.8","103"
"2003","Marcus Giles","Braves","145","635","21","101","69","14","9.3 %","12.6 %",".211",".337",".316",".390",".526",".394","139","5.6","37.1","10.4","6.7","89"
"2002","Jim Edmonds","Cardinals","144","576","28","96","83","4","14.9 %","23.3 %",".250",".375",".311",".420",".561",".414","157","-1.2","39.6","8.6","6.7","1153"
"2001","Shawn Green","Dodgers","161","701","49","121","125","20","10.3 %","15.3 %",".300",".288",".297",".372",".598",".402","149","2.2","47.5","-2.3","6.7","651"
"2002","Jeff Kent","Giants","152","682","37","102","108","5","7.6 %","14.8 %",".252",".324",".313",".368",".565",".397","147","0.9","41.3","3.1","6.7","1119"
"2007","Alfonso Soriano","Cubs","135","617","33","97","70","19","5.0 %","21.1 %",".261",".334",".299",".337",".560",".378","122","2.2","20.0","27.9","6.7","847"
"2009","Derek Jeter","Yankees","153","716","18","107","66","30","10.1 %","12.6 %",".131",".368",".334",".406",".465",".385","130","2.5","29.6","12.2","6.6","826"
"2009","Ryan Zimmerman","Nationals","157","694","33","110","106","2","10.4 %","17.1 %",".233",".310",".292",".364",".525",".377","130","4.0","29.6","14.1","6.6","4220"
